"year"	"category"	"n"	"l"
"2014"	"Georgia"	4302	7027
"2014"	"Hawaii"	5680	11004
"2014"	"Idaho"	3914	6434
"2014"	"Illinois"	6729	12414
"2014"	"Indiana"	7631	5714
"2014"	"Iowa"	8541	5613
"2014"	"Kansas"	5912	5673
"2014"	"Kentucky"	5864	6324
"2014"	"Louisiana"	4177	5127
"2014"	"Maine"	8707	6481
"2014"	"Maryland"	7485	7372
"2014"	"Massachusetts"	5920	7293
"2014"	"Michigan"	11733	5100
"2014"	"Minnesota"	7490	5611
"2014"	"Mississippi"	3776	5549
"2014"	"Missouri"	5543	5296
"2014"	"Montana"	5813	5215
"2014"	"Nebraska"	5705	8282
"2014"	"Nevada"	3811	6693
"2014"	"New Hampshire"	10995	2632
"2014"	"New Jersey"	9259	6350
"2014"	"New Mexico"	3618	7725
"2014"	"New York"	5286	9329
"2014"	"North Carolina"	3931	7798
"2014"	"North Dakota"	7476	8734
"2014"	"Ohio"	7548	4434
"2014"	"Oklahoma"	4742	6272
"2014"	"Oregon"	6903	4423
"2014"	"Pennsylvania"	10245	4052
"2014"	"Rhode Island"	12043	5149
"2014"	"South Carolina"	7663	4447
"2014"	"South Dakota"	8208	4870
"2014"	"Tennessee"	5542	6384
"2014"	"Texas"	4420	6943
"2014"	"Utah"	5211	5892
"2014"	"Vermont"	14540	3162
"2014"	"Virginia"	7697	4771
"2014"	"Washington"	5442	5903
"2014"	"West Virginia"	6257	4795
"2014"	"Wisconsin"	5618	5999
"2014"	"Wyoming"	2416	13615
